No.,Ticker,Company Name,Objective,Debt Ratio (D/A < 37%),Investment Ratio (NCInv/TA < 33%),Income Ratio (NCInc/TR < 5%),Illiquid Assets Ratio (IA/TA => 25%),Net Liquid Assets Ratio (NLA < P),Share Price as of June 30 2021,Final Shariah Status
183,POL,Pakistan Oilfields Ltd,Compliant,0.00%,0.10%,4.66%,39.86%,13.49,393.86,Compliant
184,PAKOXY,Pakistan Oxygen Limited,Compliant,19.39%,0.00%,0.46%,71.80%,(38.72),0.00,Compliant
185,PPP,Pakistan paper products Ltd,Compliant,13.16%,0.00%,0.00%,76.67%,(9.03),0.00,Compliant
186,PPL,Pakistan Petroleum Limited ^,Compliant,0.00%,17.04%,2.19%,28.31%,79.04,91.66,Compliant
187,PSEL,Pakistan Services Ltd,Compliant,20.47%,2.30%,2.75%,79.35%,(314.38),0.00,Compliant
188,PSO,Pakistan State Oil Co. Ltd,Compliant,18.25%,0.00%,0.88%,35.20%,(7.08),0.00,Compliant
189,PSYL,Pakistan Synthetics Ltd,Compliant,2.08%,0.00%,0.15%,74.29%,(22.52),0.00,Compliant
190,PTC,Pakistan Telecommunication (PTCL),Compliant,36.43%,9.76%,1.36%,59.76%,(29.50),0.00,Compliant
191,PIOC,Pioneer Cement Ltd ^^,Compliant,37.08%,0.00%,0.06%,92.75%,(143.74),0.00,Compliant
192,PIM,Popular Islamic Modaraba,Compliant,N/A,N/A,N/A,85.92%,(1.96),0.00,Compliant **
193,POWER,Power Cement Ltd,Compliant,18.64%,0.11%,0.01%,86.18%,(26.76),0.00,Compliant
194,POML,Punjab Oil Mills Ltd,Compliant,10.24%,0.00%,0.16%,35.79%,65.32,250.02,Compliant
195,QUICE,Quice Food Industries Ltd,Compliant,0.00%,0.00%,0.32%,89.27%,(1.90),0.00,Compliant
196,RMPL,Rafhan Maize Products,Compliant,0.76%,3.96%,1.33%,57.38%,(1467.69),0.00,Compliant
197,REDCO,Redco Textiles Ltd,Compliant,7.32%,0.00%,0.08%,85.85%,(26.10),0.00,Compliant
198,RCML,Reliance Cotton Spinning,Compliant,27.01%,0.63%,0.05%,80.08%,(167.78),0.00,Compliant
199,RPL,Roshan Packages Ltd,Compliant,3.71%,5.16%,0.82%,68.08%,(0.15),0.00,Compliant
200,RUBY,Ruby Textile Mills Ltd,Compliant,9.12%,0.00%,0.00%,97.53%,(6.13),0.00,Compliant
201,RUPL,Rupali Polyester Ltd,Compliant,18.98%,0.00%,0.04%,94.22%,(93.83),0.00,Compliant
202,SMCPL,Safe Mix Concrete Ltd,Compliant,0.00%,0.00%,0.03%,40.28%,(1.08),0.00,Compliant
203,SKRS,Sakrand Sugar Mills Ltd*,Compliant,29.40%,0.00%,0.00%,89.98%,(51.18),0.00,Compliant1
204,SNAI,Sana Industries Ltd,Compliant,9.14%,0.00%,0.18%,45.72%,(26.01),0.00,Compliant
205,SANSM,Sanghar Sugar Mills Ltd*,Compliant,23.16%,0.00%,0.00%,91.89%,(340.53),0.00,Compliant
206,SAPL,Sanofi-aventis Pakistan Ltd*,Compliant,3.48%,0.00%,0.34%,64.89%,(76.37),0.00,Compliant
207,SFL,Sapphire Fibres Ltd,Compliant,33.96%,8.88%,1.50%,61.48%,(227.83),0.00,Compliant
208,SARC,Sardar Chemical Industries,Compliant,9.02%,0.00%,0.00%,37.52%,18.44,32.77,Compliant
209,SSML,Saritow Spinning Mills Ltd,Compliant,34.24%,0.00%,0.00%,88.24%,(39.58),0.00,Compliant
210,SAZEW,Sazgar Engineering Works,Compliant,0.00%,0.00%,0.00%,57.23%,(17.77),0.00,Compliant
211,SGF,Service Global Footwear Limited,Compliant,21.69%,0.00%,3.36%,45.58%,4.45,58.81,Compliant
212,SERT,Service Textiles industries Ltd,Compliant,8.05%,0.00%,0.46%,89.51%,(15.43),0.00,Compliant
213,SGABL,SG.Allied Businesses Ltd,Compliant,8.70%,0.00%,0.00%,91.87%,(13.82),0.00,Compliant
214,STCL,Shabbir Tiles & Ceramics Ltd,Compliant,6.27%,17.42%,0.66%,75.55%,(11.13),0.00,Compliant
215,SHDT,Shadab Textile Mills Ltd,Compliant,25.78%,0.00%,0.21%,81.33%,(35.20),0.00,Compliant
216,STJT,Shahtaj Textile Ltd,Compliant,23.37%,0.00%,0.00%,73.57%,(92.03),0.00,Compliant
217,SZTM,Shahzad textile Mills Ltd,Compliant,18.63%,0.53%,0.08%,84.58%,(63.52),0.00,Compliant
218,SML,Shakarganj Limited*,Compliant,11.72%,0.06%,0.00%,91.64%,(93.44),0.00,Compliant1
219,STML,Shams Textile Mills Ltd,Compliant,23.42%,0.00%,0.04%,69.12%,(102.20),0.00,Compliant
220,SHEL,Shell (Pakistan) Ltd,Compliant,8.36%,0.00%,0.04%,73.31%,(169.80),0.00,Compliant
221,SHEZ,Shezan International Ltd,Compliant,32.24%,0.00%,0.02%,75.24%,(151.96),0.00,Compliant
222,SCL,Shield Corporation Ltd,Compliant,5.86%,0.00%,0.18%,83.93%,(173.20),0.00,Compliant
