No.,Ticker,Company Name,Objective,Debt Ratio (D/A < 37%),Investment Ratio (NCInv/TA < 33%),Income Ratio (NCInc/TR < 5%),Illiquid Assets Ratio (IA/TA => 25%),Net Liquid Assets Ratio (NLA < P),Share Price as of June 30 2021,Final Shariah Status
146,KTML,Kohinoor Textile Mills Ltd,Compliant,26.99%,7.52%,1.56%,81.73%,(84.15),0.00,Compliant
147,LMSM,LandMark Spinning Industries,Compliant,0.35%,0.00%,0.00%,99.70%,(21.04),0.00,Compliant
148,LEUL,Leather-Up Limited,Compliant,0.00%,0.00%,1.49%,89.01%,0.75,13.70,Compliant
149,LPGL,Leiner Pak Gelatine Ltd,Compliant,18.41%,0.00%,0.00%,92.57%,(86.28),0.00,Compliant
150,LUCK,Lucky Cement Ltd,Compliant,26.42%,4.10%,0.83%,85.80%,(473.29),0.00,Compliant
151,MACFL,MACPAC Films Ltd,Compliant,7.32%,0.00%,0.00%,78.54%,(19.01),0.00,Compliant
152,MACTER,Macter International Ltd,Compliant,3.81%,0.00%,0.07%,70.04%,(34.75),0.00,Compliant
153,MLCF,Maple Leaf Cement Factory,Compliant,21.46%,0.22%,0.04%,92.07%,(20.89),0.00,Compliant
154,MQTM,Maqbool Textile Mills Ltd,Compliant,36.24%,0.00%,0.01%,76.19%,(111.85),0.00,Compliant
155,MARI,Mari Petroleum Co. Ltd,Compliant,0.00%,27.81%,4.53%,42.77%,383.87,1524.39,Compliant
156,MEBL,Meezan Bank Ltd*,Compliant,N/A,N/A,N/A,33.80%,(343.64),0.00,Compliant **
157,MSCL,Metropolitan Steel Corporation,Compliant,3.18%,1.02%,3.17%,78.23%,2.82,16.05,Compliant
158,MTIL,Mian Textile Industries Ltd,Compliant,0.00%,0.00%,0.00%,32.21%,0.01,24.74,Compliant
159,MTL,Millat Tractors Ltd,Compliant,3.45%,22.67%,0.54%,53.99%,(72.91),0.00,Compliant
160,MFFL,Mitchell's Fruit Farms Ltd*,Compliant,15.64%,0.00%,0.00%,55.11%,(10.92),0.00,Compliant1
161,MODAM,Modaraba al Mali,Compliant,N/A,N/A,N/A,60.87%,5.07,8.75,Compliant **
162,MUGHAL,Mughal Iron & Steel Industries,Compliant,22.27%,0.00%,0.07%,73.38%,(48.54),0.00,Compliant
163,NATM,Nadeem Textile Mills Ltd,Compliant,27.87%,1.33%,0.12%,66.34%,(52.13),0.00,Compliant
164,NATF,National Foods Ltd,Compliant,27.63%,0.00%,0.23%,74.36%,(41.66),0.00,Compliant
165,NRL,National Refinery Ltd,Compliant,18.53%,0.00%,0.03%,71.81%,(284.62),0.00,Compliant
166,NSRM,National Silk & Rayon Mills,Compliant,4.68%,0.00%,0.31%,75.87%,(8.13),0.00,Compliant
167,NCML,Nazir Cotton Mills Ltd,Compliant,3.47%,0.00%,0.29%,88.22%,(8.20),0.00,Compliant
168,NETSOL,NetSol Technologies Ltd #,Compliant,12.22%,1.86%,2.95%,23.28%,54.35,169.98,Compliant
169,NRSL,Nimir Resins Ltd,Compliant,27.94%,0.00%,0.00%,60.30%,(1.86),0.00,Compliant
170,NML,Nishat Mills Ltd,Compliant,22.02%,15.23%,2.91%,60.84%,38.83,93.30,Compliant
171,OGDC,Oil & Gas Development Co. Ltd **** ^,Compliant,0.00%,22.45%,3.84%,28.51%,101.96,104.41,Compliant
172,ORM,Orient Rental Modaraba,Compliant,N/A,N/A,N/A,73.30%,(7.34),0.00,Compliant **
173,ORIXM,Orix Modaraba,Compliant,N/A,N/A,N/A,49.34%,(47.86),0.00,Compliant **
174,OTSU,Otsuka Pakistan Ltd,Compliant,27.45%,0.00%,0.09%,62.38%,(35.18),0.00,Compliant
175,PKGS,Packages Limited*,Compliant,29.05%,26.02%,0.31%,57.20%,(45.54),0.00,Compliant
176,PAEL,Pak Elektron Ltd,Compliant,28.71%,0.09%,0.00%,60.85%,(2.97),0.00,Compliant
177,PSMC,Pak Suzuki Motor Co. Ltd*,Compliant,23.61%,0.00%,0.78%,60.58%,(195.72),0.00,Compliant
178,PCAL,Pakistan Cables Ltd,Compliant,29.98%,0.00%,0.63%,68.30%,(61.45),0.00,Compliant
179,PHDL,Pakistan Hotels Developers Ltd,Compliant,0.01%,0.00%,0.09%,98.83%,(13.23),0.00,Compliant
180,PIBTL,Pakistan International Bulk Terminal Ltd,Compliant,24.53%,0.00%,0.55%,90.56%,(6.66),0.00,Compliant
181,PICT,Pakistan International Container Terminal,Compliant,0.00%,0.00%,1.43%,30.84%,15.61,177.13,Compliant
182,PNSC,Pakistan National Shipping Corporation,Compliant,8.34%,14.19%,3.18%,71.47%,28.95,72.70,Compliant
