No.,Ticker,Company Name,Objective,Debt Ratio (D/A < 37%),Investment Ratio (NCInv/TA < 33%),Income Ratio (NCInc/TR < 5%),Illiquid Assets Ratio (IA/TA => 25%),Net Liquid Assets Ratio (NLA < P),Share Price as of June 30 2021,Final Shariah Status
1,ABOT,Abbott Lab (Pakistan) Ltd*,Compliant,0.97%,27.19%,1.22%,54.46%,3.56,767.02,Compliant
2,AGSML,Abdullah Shah Ghazi Sugar Mills*,Compliant,16.98%,0.00%,0.00%,97.31%,(42.57),0.00,Compliant1
3,ADAMS,Adam Sugar Mills Ltd*,Compliant,11.99%,0.34%,0.08%,89.01%,(165.33),0.00,Compliant1
4,ADOS,Ados Pakistan Ltd,Compliant,5.99%,0.00%,0.03%,49.71%,(14.61),0.00,Compliant
5,AGHA,Agha Steel Ind Ltd,Compliant,33.93%,0.00%,0.24%,80.07%,(25.24),0.00,Compliant
6,AGP,AGP Limited*,Compliant,0.00%,0.00%,0.33%,87.01%,(1.50),0.00,Compliant
7,AGIL,Agriauto Industries Ltd,Compliant,0.81%,3.75%,Fpr,58.91%,54.79,255.40,Compliant
8,AHTM,Ahmed Hassan Textile Mills Ltd,Compliant,20.99%,0.60%,0.02%,81.77%,(104.67),0.00,Compliant
9,ASL,Aisha Steel Ltd,Compliant,33.61%,0.00%,0.04%,86.31%,(22.10),0.00,Compliant
10,ASC,Al Shaheer Corporation Ltd,Compliant,2.50%,0.00%,0.00%,63.36%,1.86,19.93,Compliant
11,AGTL,Al-Ghazi Tractors Ltd,Compliant,0.00%,0.00%,0.45%,34.22%,(3.31),0.00,Compliant
12,AKGL,AL-Khair Gadoon Ltd,Compliant,17.91%,0.00%,0.01%,78.77%,(20.01),0.00,Compliant
13,AWTX,Allawasaya Textile Mills Ltd,Compliant,22.30%,0.00%,0.00%,80.04%,(558.81),0.00,Compliant
14,ARM,Allied Rental Modaraba,Compliant,N/A,N/A,N/A,75.33%,(2.73),0.00,Compliant **
15,FANM,Al-Noor Modaraba,Compliant,N/A,N/A,N/A,64.66%,3.63,3.65,Compliant **
16,ANTM,AN Textile Mills Ltd. (Ishaq Textile Mills Ltd.,) Compliant,13.65%,0.28%,0.01%,83.63%,(84.16),0.00,Compliant
17,ARPL,Archroma Pakistan Ltd,Compliant,4.01%,0.00%,0.00%,45.68%,(19.17),0.00,Compliant
18,ASHT,Ashfaq Textile Mills Ltd,Compliant,0.00%,0.00%,1.06%,81.36%,(0.02),0.00,Compliant
19,ASTM,Asim Textile Mills Ltd,Compliant,0.00%,0.00%,0.52%,57.23%,(22.36),0.00,Compliant
