No.,Ticker,Company Name,Objective,Debt Ratio (D/A < 37%),Investment Ratio (NCInv/TA < 33%),Income Ratio (NCInc/TR < 5%),Illiquid Assets Ratio (IA/TA => 25%),Net Liquid Assets Ratio (NLA < P),Share Price as of June 30 2021,Final Shariah Status
70,FRSM,Faran Sugar Mills Ltd*,Compliant,2.72%,0.00%,0.32%,82.40%,(179.77),0.00,Compliant1
71,FATIMA,Fatima Fertilizer Co. Ltd*,Compliant,11.22%,1.45%,0.96%,80.85%,(22.60),0.00,Compliant
72,FCCL,Fauji Cement Co. Ltd,Compliant,12.11%,12.91%,0.45%,79.15%,(2.66),0.00,Compliant
73,FZCM,Fazal Cloth Mills Ltd,Compliant,29.47%,1.07%,0.55%,84.56%,(735.45),0.00,Compliant
74,FECTC,Fecto Cement Ltd,Compliant,25.82%,1.59%,0.27%,88.94%,(37.85),0.00,Compliant
75,FML,Feroze1888 Mills Ltd ^^^,Compliant,28.97%,0.00%,0.11%,68.77%,(29.77),0.00,Compliant
76,FEROZ,Ferozsons Laboratories Ltd,Compliant,9.89%,16.23%,0.86%,58.36%,25.21,408.72,Compliant
77,FECM,First Elite Capital Modaraba,Compliant,N/A,N/A,N/A,70.32%,(1.53),0.00,Compliant **
78,FEM,First Equity Modaraba,Compliant,N/A,N/A,N/A,73.77%,(9.27),0.00,Compliant **
79,FFLM,First Fidelity Leasing Modaraba,Compliant,N/A,N/A,N/A,92.04%,(0.04),0.00,Compliant **
80,FHAM,First Habib Modaraba,Compliant,N/A,N/A,N/A,96.53%,(39.06),0.00,Compliant **
81,FIMM,First Imrooz Modaraba,Compliant,N/A,N/A,N/A,51.73%,(0.18),0.00,Compliant **
82,PAKMI,First Pak Modaraba,Compliant,N/A,N/A,N/A,36.44%,1.33,3.50,Compliant **
83,FPRM,First Paramount Modaraba,Compliant,N/A,N/A,N/A,50.27%,(1.39),0.00,Compliant **
84,PMI,First Prudential Modaraba,Compliant,N/A,N/A,N/A,49.99%,1.90,2.60,Compliant **
85,FPJM,First Punjab Modaraba,Compliant,N/A,N/A,N/A,65.37%,(34.15),0.00,Compliant **
86,FTMM,First Treet Manufacturing Modaraba,Compliant,N/A,N/A,N/A,82.89%,(7.19),0.00,Compliant **
87,FTSM,First Tri-Star Modaraba,Compliant,N/A,N/A,N/A,63.09%,2.79,13.33,Compliant **
88,FUDLM,First UDL Modaraba,Compliant,N/A,N/A,N/A,66.56%,2.41,10.40,Compliant **
89,FLYNG,Flying Cement Co. Ltd,Compliant,28.97%,0.00%,0.00%,93.58%,(21.64),0.00,Compliant
90,FCEPL,Frieslandcampins Engro Foods Limited,Compliant,28.69%,0.00%,0.05%,73.88%,(13.73),0.00,Compliant
91,FRCL,Frontier Ceramics Ltd,Compliant,13.53%,0.00%,0.02%,80.82%,(21.57),0.00,Compliant
92,GADT,Gadoon Textile Mills Ltd,Compliant,31.38%,0.00%,0.01%,81.84%,(4885.77),0.00,Compliant
93,GAMON,Gammon Pakistan Ltd,Compliant,0.00%,0.12%,0.04%,73.50%,0.55,15.00,Compliant
94,GATI,Gatron (Industries) Ltd,Compliant,11.99%,0.00%,0.00%,64.96%,(97.21),0.00,Compliant
95,GHNI,Ghandhara Industries Ltd,Compliant,13.61%,0.00%,0.34%,72.90%,(121.76),0.00,Compliant
96,GHNL,Ghandhara Nissan Ltd,Compliant,5.49%,0.00%,0.72%,72.93%,15.17,109.23,Compliant
97,GAIL,Ghani Automobile Industries Ltd,Compliant,0.00%,0.00%,0.61%,36.88%,(1.66),0.00,Compliant3
98,GHGL,Ghani Glass Ltd,Compliant,0.38%,0.00%,0.00%,75.70%,(3.58),0.00,Compliant
99,GGGL,Ghani Global Glass Ltd,Compliant,4.19%,0.00%,0.20%,74.62%,(0.31),0.00,Compliant
100,GGL,Ghani Global Holdings Limited,Compliant,13.11%,0.00%,0.14%,74.13%,(5.15),0.00,Compliant
101,GVGL,Ghani Value Glass Ltd,Compliant,0.00%,0.00%,0.50%,56.40%,9.19,62.31,Compliant
102,GWLC,Gharibwal Cement Ltd,Compliant,6.40%,0.00%,0.80%,85.20%,(17.37),0.00,Compliant
103,GFIL,Ghazi Fabrics International Ltd,Compliant,34.20%,0.00%,0.00%,75.59%,(20.97),0.00,Compliant
104,GLPL,Gillette Pakistan Ltd,Compliant,1.40%,30.89%,0.83%,39.81%,8.43,221.95,Compliant
105,GSKCH,Glaxo SmithKline Consumer Healthcare*,Compliant,0.00%,0.00%,0.64%,62.37%,(17.92),0.00,Compliant
106,GLAXO,GlaxoSmithKline Pakistan*,Compliant,0.22%,1.90%,0.91%,74.10%,(7.36),0.00,Compliant
107,GOC,GOC (Pakistan) Limited,Compliant,0.00%,6.05%,1.46%,58.40%,1.62,57.26,Compliant
108,GIL,Goodluck Industries Ltd,Compliant,0.00%,0.00%,0.00%,86.85%,77.54,490.25,Compliant
109,HMM,Habib Metro Modaraba,Compliant,N/A,N/A,N/A,93.58%,(0.00),0.00,Compliant **
110,HRPL,Habib Rice Products Ltd,Compliant,0.05%,20.03%,2.11%,61.24%,1.54,36.50,Compliant
111,HABSM,Habib Sugar Mills Ltd*,Compliant,11.33%,21.69%,4.24%,71.41%,(3.05),0.00,Compliant1
112,HAFL,Hafiz Limited,Compliant,0.00%,0.10%,0.03%,98.13%,(1.63),0.00,Compliant
113,HINOON,Highnoon Laboratories Ltd*,Compliant,6.02%,21.53%,0.90%,52.80%,29.73,621.30,Compliant
114,HINO,Hinopak Motors Ltd,Compliant,0.22%,0.00%,0.15%,73.09%,(54.36),0.00,Compliant1
115,HTL,Hi-Tech Lubricants Ltd,Compliant,17.23%,4.06%,0.22%,81.85%,(14.81),0.00,Compliant
116,HCAR,Honda Atlas Cars (Pakistan) Ltd,Compliant,0.94%,0.00%,0.75%,43.87%,(11.29),0.00,Compliant
