No.,Ticker,Company Name,Objective,Debt Ratio (D/A < 37%),Investment Ratio (NCInv/TA < 33%),Income Ratio (NCInc/TR < 5%),Illiquid Assets Ratio (IA/TA => 25%),Net Liquid Assets Ratio (NLA < P),Share Price as of June 30 2021,Final Shariah Status
117,HUBC,Hub Power Company Ltd ##,Compliant,23.31%,0.00%,4.77%,56.41%,(36.46),0.00,Compliant
118,HSM,Husein Sugar Mills Ltd*,Compliant,20.37%,0.01%,0.00%,95.25%,(155.37),0.00,Compliant1
119,IBLHL,IBL HealthCare Ltd,Compliant,0.53%,0.00%,0.32%,53.72%,5.55,119.90,Compliant
120,IBFL,Ibrahim Fibres Ltd,Compliant,2.41%,0.03%,0.00%,122.06%,(86.88),0.00,Compliant
121,ICI,ICI Pakistan Ltd,Compliant,15.04%,0.00%,0.10%,83.28%,(173.54),0.00,Compliant
122,IDSM,Ideal Spinning Mills Ltd,Compliant,27.93%,0.00%,0.00%,79.26%,(130.44),0.00,Compliant3
123,IDRT,Idrees Textile Mills Ltd,Compliant,31.37%,2.30%,0.07%,75.17%,(55.07),0.00,Compliant
124,IMAGE,Image Pakistan Limited,Compliant,13.40%,8.91%,0.01%,73.22%,(5.01),0.00,Compliant
125,ILP,Interloop Limited ^^^,Compliant,34.75%,0.82%,0.10%,64.05%,(21.05),0.00,Compliant
126,INIL,International Industries Ltd,Compliant,23.84%,0.00%,0.05%,86.34%,(231.61),0.00,Compliant
127,INKL,International Knitwear Ltd,Compliant,20.24%,1.37%,0.31%,62.20%,(7.02),0.00,Compliant
128,ISL,International Steels Ltd,Compliant,14.54%,0.00%,0.05%,88.59%,(41.54),0.00,Compliant
129,ITTEFAQ,Ittefaq Iron Industries,Compliant,22.31%,0.00%,0.06%,64.99%,(2.80),0.00,Compliant
130,ICL,Ittehad Chemicals Ltd,Compliant,16.28%,0.00%,0.28%,75.96%,(37.04),0.00,Compliant
131,JATM,J. A. Textile Mills Ltd,Compliant,0.00%,0.00%,0.19%,81.56%,(16.01),0.00,Compliant
132,JKSM,J.K. Spinning Mills Ltd,Compliant,36.25%,0.02%,0.01%,84.28%,(40.94),0.00,Compliant
133,JDMT,Janana De Malucho Textile,Compliant,13.86%,0.00%,0.00%,96.47%,(330.06),0.00,Compliant
134,JSML,Jauharabad Sugar Mills Ltd*,Compliant,24.76%,0.18%,0.00%,94.02%,(128.45),0.00,Compliant1
135,JVDC,Javedan Corporation Ltd,Compliant,11.26%,4.64%,1.27%,92.28%,(25.26),0.00,Compliant
136,JUBS,Jubilee Spinning & Weaving Mills Ltd,Compliant,0.00%,0.00%,0.66%,81.89%,(1.06),0.00,Compliant
137,KSBP,K.S.B.Pumps Company Ltd,Compliant,17.30%,0.00%,0.15%,39.68%,1.04,240.00,Compliant
138,KASBM,KASB Modaraba,Compliant,N/A,N/A,N/A,26.25%,2.16,2.69,Compliant **
139,KEL,K-Electric Ltd,Compliant,16.14%,0.39%,0.60%,52.72%,(11.67),0.00,Compliant
140,KHSM,Khurshid Spinning,Compliant,11.26%,0.00%,0.02%,76.46%,(38.47),0.00,Compliant
141,KHYT,Khyber Textile Mills Ltd,Compliant,0.00%,0.00%,0.00%,99.86%,(51.30),0.00,Compliant
142,KOHC,Kohat Cement Co. Ltd,Compliant,17.11%,0.13%,0.04%,92.36%,(55.29),0.00,Compliant
143,KOHTM,Kohat Textile Mills Limited,Compliant,30.25%,0.06%,0.14%,86.92%,(83.16),0.00,Compliant
144,KOHE,Kohinoor Energy Ltd,Compliant,22.64%,0.00%,4.87%,38.20%,12.81,36.00,Compliant
145,KOIL,Kohinoor Industries Ltd,Compliant,0.00%,1.92%,2.36%,87.00%,2.20,8.54,Compliant
