No.,Ticker,Company Name,Objective,Debt Ratio (D/A < 37%),Investment Ratio (NCInv/TA < 33%),Income Ratio (NCInc/TR < 5%),Illiquid Assets Ratio (IA/TA => 25%),Net Liquid Assets Ratio (NLA < P),Share Price as of June 30 2021,Final Shariah Status
223,SHFA,Shifa International Hospitals,Compliant,7.15%,6.30%,0.48%,63.53%,(22.35),0.00,Compliant
224,STPL,Siddiqsons Tin Plate Ltd,Compliant,31.93%,3.31%,0.16%,60.79%,(0.40),0.00,Compliant
225,SASML,Sindh Abadgar's Sugar Mills Ltd*,Compliant,34.41%,0.00%,0.16%,80.12%,(316.92),0.00,Compliant
226,SITC,Sitara Chemical Industries Ltd,Compliant,0.00%,0.01%,0.00%,79.96%,(398.43),0.00,Compliant
227,SPL,Sitara Peroxide Ltd,Compliant,4.40%,0.00%,0.01%,84.34%,(17.75),0.00,Compliant
228,SNGP,Sui Northern Gas Pipelines Ltd,Compliant,21.86%,0.00%,1.48%,29.35%,(354.35),0.00,Compliant3
229,SSGC,Sui Southern Gas Co. Ltd,Compliant,18.60%,0.06%,0.81%,25.96%,(164.48),0.00,Compliant3
230,SUTM,Sunrays Textile Mills Ltd,Compliant,17.22%,11.66%,0.31%,59.60%,41.13,310.00,Compliant
231,SURC,Suraj Cotton Mills Ltd,Compliant,24.49%,1.05%,0.29%,85.76%,(104.69),0.00,Compliant
232,SPEL,Synthetic Products Ltd,Compliant,12.86%,2.93%,0.13%,78.17%,(1.97),0.00,Compliant
233,SYS,Systems Limited*,Compliant,18.35%,6.51%,0.58%,33.34%,34.11,560.22,Compliant
234,TGL,Tariq Glass Industries Ltd,Compliant,26.70%,0.00%,0.01%,87.32%,(42.08),0.00,Compliant
235,TATM,TATA Textile Mills Ltd.,Compliant,33.34%,2.90%,0.02%,71.15%,(86.34),0.00,Compliant
236,TELE,Telecard Limited #,Compliant,21.76%,0.00%,0.19%,16.30%,7.35,14.84,Compliant
237,THALL,Thal Limited,Compliant,4.66%,22.94%,3.87%,60.29%,118.83,422.78,Compliant
238,THCCL,Thatta Cement Company,Compliant,17.94%,4.43%,0.80%,69.71%,(0.69),0.00,Compliant
239,TOMCL,The Organic Meat Company Ltd,Compliant,14.33%,0.00%,0.15%,56.22%,6.29,40.61,Compliant
240,SEARL,The Searle Company Ltd,Compliant,6.61%,0.24%,0.10%,65.72%,(25.89),0.00,Compliant
241,TOWL,Towellers Limited,Compliant,0.00%,0.00%,0.44%,68.96%,(31.18),0.00,Compliant
242,TREET,Treet Corporation Ltd,Compliant,20.89%,1.55%,1.14%,81.19%,(61.95),0.00,Compliant
243,TRIPF,Tri-Pack Films Ltd*,Compliant,34.59%,0.00%,0.01%,73.81%,(154.65),0.00,Compliant1
244,TRSM,Trust Modaraba,Compliant,N/A,N/A,N/A,83.06%,0.03,3.6,Compliant **
245,UCAPM,Unicap Modaraba,Compliant,N/A,N/A,N/A,100.00%,(1.08),0.00,Compliant3 **
246,UPFL,Unilever Pakistan Foods Ltd,Compliant,1.95%,0.00%,0.23%,54.67%,(495.12),0.00,Compliant
247,UBDL,United Brands Limited,Compliant,21.87%,0.00%,0.03%,43.81%,(5.74),0.00,Compliant
248,UDPL,United Distributors (Pakistan) Ltd,Compliant,3.99%,0.00%,0.25%,88.93%,(0.91),0.00,Compliant
249,UNITY,Unity Foods Ltd,Compliant,20.11%,15.52%,0.33%,47.43%,(7.82),0.00,Compliant
250,WAHN,Wah-Noble Chemicals Ltd,Compliant,23.87%,0.12%,0.11%,41.27%,40.01,268.00,Compliant
251,WAVES,WAVES Singer Pakistan Ltd,Compliant,31.96%,0.00%,0.00%,64.56%,(8.50),0.00,Compliant
252,WTL,WorldCall Telecom Ltd*,Compliant,35.35%,0.24%,0.44%,69.25%,(5.12),0.00,Compliant
253,WYETH,Wyeth Pakistan Ltd*,Compliant,0.00%,0.00%,3.62%,25.39%,456.68,2290.25,Compliant2
254,ZAHID,Zahidjee Textile Mills Ltd,Compliant,34.58%,0.83%,0.01%,76.53%,(18.22),0.00,Compliant
255,ZTL,Zephyr Textiles Ltd,Compliant,34.44%,0.08%,0.03%,70.25%,(29.32),0.00,Compliant
256,ZIL,ZIL Limited,Compliant,8.60%,0.00%,0.02%,82.87%,(113.02),0.00,Compliant
