No.,Ticker,Company Name,Objective,Debt Ratio (D/A < 37%),Investment Ratio (NCInv/TA < 33%),Income Ratio (NCInc/TR < 5%),Illiquid Assets Ratio (IA/TA => 25%),Net Liquid Assets Ratio (NLA < P),Share Price as of June 30 2021,Final Shariah Status
78,RAVT,Ravi textile Mills Ltd,Compliant,1.82%,1.08%,5.10%,14.87%,0.56,8.55,Non-Compliant3
79,REWM,Reliance Weaving Mills,Compliant,54.03%,3.11%,0.21%,70.08%,(242.29),0.00,Non-Compliant
80,SSOM,S.S. Oil Mills Ltd,Compliant,44.71%,0.00%,0.02%,57.46%,(98.16),0.00,Non-Compliant
81,SAIF,Saif Textile Mills Ltd,Compliant,51.21%,0.14%,0.01%,76.14%,(204.29),0.00,Non-Compliant
82,SALT,Salfi Textile Mills Ltd,Compliant,38.56%,0.36%,0.09%,88.19%,(891.92),0.00,Non-Compliant3
83,SLYT,Sally Textile Mills,Compliant,79.97%,0.00%,0.00%,89.63%,(209.15),0.00,Non-Compliant
84,SMTM,Samin Textiles Ltd,Compliant,0.00%,0.00%,0.01%,1.76%,1.54,9.95,Non-Compliant
85,SAPT,Sapphire Textile Mills,Compliant,55.56%,6.00%,0.88%,72.70%,(1982.91),0.00,Non-Compliant
86,SEPL,Security Papers Ltd,Compliant,0.40%,33.67%,3.97%,46.58%,49.45,167.30,Non-Compliant
87,SERF,Service Fabrics Ltd,Compliant,655.68%,92.86%,0.00%,0.00%,(1.49),0.00,Non-Compliant
88,SRVI,Service Industries Ltd,Compliant,47.11%,0.21%,0.32%,68.06%,(385.39),0.00,Non-Compliant
89,SHCM,Shadman Cotton Mills,Compliant,42.32%,0.06%,0.96%,91.07%,(40.52),0.00,Non-Compliant
90,SHSML,Shahmurad Sugar Mills Ltd*,Compliant,50.30%,0.00%,3.80%,89.93%,(441.18),0.00,Non-Compliant1
91,SHJS,Shahtaj Sugar Mills Ltd*,Compliant,55.85%,0.00%,0.01%,93.19%,(401.15),0.00,Non-Compliant
92,SIEM,Siemens (Pakistan) Engineering*,Compliant,2.48%,0.00%,0.22%,11.07%,378.50,491.36,Non-Compliant1
93,SINDM,Sindh Modaraba,Compliant,N/A,N/A,N/A,68.97%,10.71,8.80,Non-Compliant **
94,SEL,Sitara Energy Ltd,Compliant,37.66%,0.00%,0.00%,43.74%,(3.95),0.00,Non-Compliant
95,TSML,Tandlianwala Sugar Mills Ltd*,Compliant,42.16%,0.00%,0.04%,91.91%,(208.58),0.00,Non-Compliant1
96,TICL,Thal Industries Corp*,Compliant,48.72%,0.00%,0.05%,83.23%,(867.04),0.00,Non-Compliant
97,TPL,TPL Corporation,Compliant,37.43%,8.54%,3.63%,47.34%,(9.72),0.00,Non-Compliant
98,TPLP,TPL Properties Ltd,Compliant,29.78%,8.22%,9.40%,35.27%,9.06,30.11,Non-Compliant
99,TPLT,TPL Trakker Limited,Compliant,26.11%,0.00%,9.43%,56.22%,(10.59),0.00,Non-Compliant
