No.,Ticker,Company Name,Objective,Debt Ratio (D/A < 37%),Investment Ratio (NCInv/TA < 33%),Income Ratio (NCInc/TR < 5%),Illiquid Assets Ratio (IA/TA => 25%),Net Liquid Assets Ratio (NLA < P),Share Price as of June 30 2021,Final Shariah Status
100,TRG,TRG Pakistan Ltd,Compliant,0.05%,98.79%,100.00%,0.00%,76.11,166.33,Non-Compliant
101,TSPL,Tri-Star Power Ltd,Compliant,0.00%,37.37%,12.85%,7.50%,11.29,6.87,Non-Compliant
102,YOUW,Yousaf Weaving Mills Ltd,Compliant,53.04%,0.00%,0.00%,84.47%,(11.37),0.00,Non-Compliant
103,FCONM,First Constellation Modaraba,Compliant,N/A,N/A,N/A,N/A,N/A,N/A,No Opinion!
104,AEL,Arshad Energy Ltd ***,Compliant,0.00%,0.00%,0.00%,94.25%,(9.50),0.00,No Opinion
105,EPQL,Engro Powergen Qadirpur Ltd ***,Compliant,15.16%,0.19%,4.35%,49.52%,8.49,21.40,No Opinion
106,KOHP,Kohinoor Power Company ***,Compliant,0.00%,2.75%,3.01%,72.18%,2.83,6.66,No Opinion
107,PECO,Pakistan Engineering Co. Ltd ###,Compliant,7.95%,0.01%,0.01%,94.41%,67.31,246.25,No Opinion3
108,SPWL,Saif Power Ltd ***,Compliant,20.26%,0.00%,0.01%,48.75%,6.95,17.34,No Opinion
109,SGPL,SG Power Ltd ***,Compliant,7.06%,0.00%,0.00%,56.50%,0.13,5.75,No Opinion
110,ASLCPS,Aisha Steel Convt (Pref) Right,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
111,ASLPS,Aisha Steel Convertible (Pref),Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
112,AKDCL,AKD Capital Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
113,AMBL,Apna Microfinance Bank Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
114,AHL,Arif Habib Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
115,ARPAK,Arpak International investments,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
116,ANLNV,Azgard Nine (Non-Voting),Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
117,BOK,Bank of Khyber,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
118,BIPLS,BIPL Securities Limited,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
119,DEL,Dawood Equities Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
120,EFGH,EFG Hermes Pakistan,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
121,EPCLPS,Engro Polymer & Chemical Ltd Prefrence Sh,areNson-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
122,ESBL,Escorts Investment Bank Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
123,FABL,Faysal Bank Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
124,FCSC,First Capital Securities Corp. Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
125,FCIBL,First Credit & investment Bank Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
126,FDIBL,First Dawood Investment Bank Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
127,FNEL,First National Equities Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
128,HCL,Hallmark Company Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
129,HUMNL,Hum Network Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
130,IML,Imperial Limited,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
131,ICIBL,Invest Capital Investment Bank,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
132,JSCL,Jahangir Siddiqui & Co. Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
133,JVDCPS,Javedan Corp Preference,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
134,JSGCL,JS Global Capital Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
135,JSIL,JS Investments Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
136,MSOTPS,Masood Textile Mills Preference,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
137,MCBAH,MCB-Arif Habib Savings & investment,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
138,MDTL,Media Times Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
139,MUREB,Murree Brewery Company Limited,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
140,NEXT,Next Capital Limited,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
141,PIAB,"P.I.A.C.L ""B""",Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
142,PASL,Pervez Ahmed Securities Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
143,SIBL,Security Investment Bank Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
144,SLL,SME Leasing Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
145,TSBL,Trust Securities & Brokerage,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by nature
146,786,786 Investments Ltd,Non-Compliant,N/A,N/A,N/A,N/A,N/A,N/A,NC by Nature
