source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2024_h1,2025-01-03,1,2,ADAMS,ASC,"[""1"", ""ADAMS"", """", ""Adam Sugar Mills Limited"", """", ""ASC"", """", ""Al Shaheer Corporation Limited"", """"]"
review_2024_h1,2025-01-03,2,2,ASTL,BAFS,"[""2"", ""ASTL"", """", ""Amreli Steels Limited"", """", ""BAFS"", """", ""Baba Farid Sugar Mills Limited"", """"]"
review_2024_h1,2025-01-03,3,2,BBFL,CHAS,"[""3"", ""BBFL"", """", ""Big Bird Foods Limited"", """", ""CHAS"", """", ""Chashma Sugar Mills Limited"", """"]"
review_2024_h1,2025-01-03,4,2,BFBIO,FASM,"[""4"", ""BFBIO"", """", ""BF Biosciences Limited^"", """", ""FASM"", """", ""Faisal Spinning Mills Limited"", """"]"
review_2024_h1,2025-01-03,5,2,CFL,JATM,"[""5"", ""CFL"", """", ""Crescent Fibres Limited"", """", ""JATM"", """", ""J.A. Textile Mills Limited"", """"]"
review_2024_h1,2025-01-03,6,2,CLVL,MIRKS,"[""6"", ""CLVL"", """", ""Cordoba Logistics & Ventures Limited"", """", ""MIRKS"", """", ""Mirpurkhas Sugar Mills Limited"", """"]"
review_2024_h1,2025-01-03,7,2,CSAP,MRNS,"[""7"", ""CSAP"", """", ""Crescent Steel & Allied Products Limited"", """", ""MRNS"", """", ""Mehran Sugar Mills Limited"", """"]"
review_2024_h1,2025-01-03,8,2,DAWH,NONS,"[""8"", ""DAWH"", """", ""Dawood Hercules Corporation Limited"", """", ""NONS"", """", ""Noon Sugar Mills Limited"", """"]"
review_2024_h1,2025-01-03,9,2,DNCC,PMRS,"[""9"", ""DNCC"", """", ""Dandot Cement Company Limited"", """", ""PMRS"", """", ""The Premier Sugar Mills"", """"]"
review_2024_h1,2025-01-03,10,2,FZCM,SGPL,"[""10"", ""FZCM"", """", ""Fazal Cloth Mills Limited"", """", ""SGPL"", """", ""S.G. Power Limited"", """"]"
review_2024_h1,2025-01-03,11,2,GATM,SHJS,"[""11"", ""GATM"", """", ""Gul Ahmed Textile Mills Limited"", """", ""SHJS"", """", ""Shahtaj Sugar Mills Limited"", """"]"
review_2024_h1,2025-01-03,12,2,GEMBCEM,SSML,"[""12"", ""GEMBCEM"", """", ""Burj Clean Energy Modaraba (GEM)^"", """", ""SSML"", """", ""Saritow Spinning Mills Limited"", """"]"
review_2024_h1,2025-01-03,13,2,GEMBLUEX,TICL,"[""13"", ""GEMBLUEX"", """", ""Blue-Ex Limited (GEM)"", """", ""TICL"", """", ""The Thal Industries Corporation Limited"", """"]"
review_2024_h1,2025-01-03,14,2,GEMMEL,,"[""14"", ""GEMMEL"", """", ""Mughal Energy Limited (GEM)^"", """", """", """", """", """"]"
review_2024_h1,2025-01-03,15,2,HAEL,,"[""15"", ""HAEL"", """", ""Hala Enterprises Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,16,2,HCAR,,"[""16"", ""HCAR"", """", ""Honda Atlas Cars (Pakistan) Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,17,2,KML,,"[""17"", ""KML"", """", ""Kohinoor Mills Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,18,2,LPL,,"[""18"", ""LPL"", """", ""Lalpir Power Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,19,2,MQTM,,"[""19"", ""MQTM"", """", ""Maqbool Textile Mills Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,20,2,NATF,,"[""20"", ""NATF"", """", ""National Foods Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,21,2,OGDC,,"[""21"", ""OGDC"", """", ""Oil & Gas Development Company Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,22,2,REWM,,"[""22"", ""REWM"", """", ""Reliance Weaving Mills Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,23,2,SFL,,"[""23"", ""SFL"", """", ""Sapphire Fibres Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,24,2,SUTM,,"[""24"", ""SUTM"", """", ""Sunrays Textile Mills Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,25,2,UDPL,,"[""25"", ""UDPL"", """", ""United Distributors Pakistan Limited"", """", ""-"", """", """", """"]"
review_2024_h1,2025-01-03,26,2,YOUW,,"[""26"", ""YOUW"", """", ""Yousaf Weaving Mills Limited"", """", ""-"", """", """", """"]"
