source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2023_h2,2024-06-25,1,2,AGSML,ADAMS,"[""1"", ""AGSML"", """", ""Abdullah Shah Ghazi Sugar Mills Limited"", """", ""ADAMS"", """", ""Adam Sugar Mills Limited"", """"]"
review_2023_h2,2024-06-25,2,2,ASTM,AKDHL,"[""2"", ""ASTM"", """", ""Asim Textile Mills Limited"", """", ""AKDHL"", """", ""AKD Hospitality Limited"", """"]"
review_2023_h2,2024-06-25,3,2,BML,ASL,"[""3"", ""BML"", """", ""Bank Makramah Limited"", """", ""ASL"", """", ""Aisha Steel Mills Limited"", """"]"
review_2023_h2,2024-06-25,4,2,BRRG,ASTL,"[""4"", ""BRRG"", """", ""B.R.R Guardian Limited"", """", ""ASTL"", """", ""Amreli Steels Limited"", """"]"
review_2023_h2,2024-06-25,5,2,CHAS,BECO,"[""5"", ""CHAS"", """", ""Chashma Sugar Mills Limited"", """", ""BECO"", """", ""Beco Steel Limited"", """"]"
review_2023_h2,2024-06-25,6,2,FASM,COLG,"[""6"", ""FASM"", """", ""Faisal Spinning Mills Limited"", """", ""COLG"", """", ""Colgate-Palmolive (Pakistan) Limited"", """"]"
review_2023_h2,2024-06-25,7,2,FML,EPQL,"[""7"", ""FML"", """", ""Feroze1888 Mills Limited"", """", ""EPQL"", """", ""Engro Powergen Qadirpur Limited"", """"]"
review_2023_h2,2024-06-25,8,2,GEMPAPL,FZCM,"[""8"", ""GEMPAPL"", """", ""Pak Agro Packaging Limited(GEM)"", """", ""FZCM"", """", ""Fazal Cloth Mills Limited"", """"]"
review_2023_h2,2024-06-25,9,2,GEMSPNL,GLPL,"[""9"", ""GEMSPNL"", """", ""Supernet Limited(GEM)"", """", ""GLPL"", """", ""Gillette Pakistan Limited"", """"]"
review_2023_h2,2024-06-25,10,2,HRPL,HABSM,"[""10"", ""HRPL"", """", ""Habib Rice Product Limited."", """", ""HABSM"", """", ""Habib Sugar Mills Limited"", """"]"
review_2023_h2,2024-06-25,11,2,JATM,HAEL,"[""11"", ""JATM"", """", ""J.A. Textile Mills Limited"", """", ""HAEL"", """", ""Hala Enterprises Limited"", """"]"
review_2023_h2,2024-06-25,12,2,MIRKS,HCAR,"[""12"", ""MIRKS"", """", ""Mirpurkhas Sugar Mills Limited"", """", ""HCAR"", """", ""Honda Atlas Cars (Pakistan) Limited"", """"]"
review_2023_h2,2024-06-25,13,2,MRNS,HCL,"[""13"", ""MRNS"", """", ""Mehran Sugar Mills Limited"", """", ""HCL"", """", ""Hallmark Company Limited"", """"]"
review_2023_h2,2024-06-25,14,2,NONS,IDRT,"[""14"", ""NONS"", """", ""Noon Sugar Mills Limited"", """", ""IDRT"", """", ""Idrees Textile Mills Limited"", """"]"
review_2023_h2,2024-06-25,15,2,OCTOPUS,LPL,"[""15"", ""OCTOPUS"", """", ""Octopus Digital Limited"", """", ""LPL"", """", ""Lalpir Power Limited"", """"]"
review_2023_h2,2024-06-25,16,2,PAKOXY,NATF,"[""16"", ""PAKOXY"", """", ""Pakistan Oxygen Limited"", """", ""NATF"", """", ""National Foods Limited"", """"]"
review_2023_h2,2024-06-25,17,2,PMRS,OGDC,"[""17"", ""PMRS"", """", ""The Premier Sugar Mills"", """", ""OGDC"", """", ""Oil & Gas Development Company Limited"", """"]"
review_2023_h2,2024-06-25,18,2,SGPL,PHDL,"[""18"", ""SGPL"", """", ""S.G. Power Limited"", """", ""PHDL"", """", ""Pakistan Hotels Developers Limited"", """"]"
review_2023_h2,2024-06-25,19,2,SHJS,PNSC,"[""19"", ""SHJS"", """", ""Shahtaj Sugar Mills Limited"", """", ""PNSC"", """", ""Pakistan National Shipping Corporation"", """"]"
review_2023_h2,2024-06-25,20,2,SHSML,QUET,"[""20"", ""SHSML"", """", ""Shahmurad Sugar Mills Limited"", """", ""QUET"", """", ""Quetta Textile Mills Limited"", """"]"
review_2023_h2,2024-06-25,21,2,SSML,SFL,"[""21"", ""SSML"", """", ""Saritow Spinning Mills Limited"", """", ""SFL"", """", ""Sapphire Fibres Limited"", """"]"
review_2023_h2,2024-06-25,22,2,SYM,SPWL,"[""22"", ""SYM"", """", ""Symmetry Group Limited"", """", ""SPWL"", """", ""Saif Power Limited"", """"]"
review_2023_h2,2024-06-25,23,2,TICL,STPL,"[""23"", ""TICL"", """", ""The Thal Industries Corporation Limited"", """", ""STPL"", """", ""Siddiqsons Tin Plate Limited"", """"]"
review_2023_h2,2024-06-25,24,2,FCL,SUTM,"[""24"", ""FCL"", """", ""Fast Cables Limited^"", """", ""SUTM"", """", ""Sunrays Textile Mills Limited"", """"]"
review_2023_h2,2024-06-25,25,2,IPAK,TATM,"[""25"", ""IPAK"", """", ""International Packaging Films Limited^"", """", ""TATM"", """", ""Tata Textile Mills Limited"", """"]"
review_2023_h2,2024-06-25,26,2,STYLERS,THALL,"[""26"", ""STYLERS"", """", ""Stylers International Limited^"", """", ""THALL"", """", ""Thal Limited"", """"]"
review_2023_h2,2024-06-25,27,2,SLGL,TRIPF,"[""27"", ""SLGL"", """", ""Secure Logistics Group Limited^"", """", ""TRIPF"", """", ""Tri-Pack Films Limited"", """"]"
review_2023_h2,2024-06-25,28,2,TPLRF1,TSML,"[""28"", ""TPLRF1"", """", ""TPL REIT Fund I^"", """", ""TSML"", """", ""Tandlianwala Sugar Mills Limited"", """"]"
review_2023_h2,2024-06-25,29,2,,UDPL,"[""29"", ""-"", """", """", """", ""UDPL"", """", ""United Distributors Pakistan Limited"", """"]"
