source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2025_h1,2025-12-02,1,1,AIRLINK,AGSML,"[""AIRLINK"", """", ""Air Link Communication Limited"", """", ""AGSML"", """", ""Abdullah Shah Ghazi Sugar Mills Limited^"", """"]"
review_2025_h1,2025-12-02,2,1,AKDHL,BGL,"[""AKDHL"", """", ""AKD Hospitality Limited"", """", ""BGL"", """", ""Baluchistan Glass Limited^"", """"]"
review_2025_h1,2025-12-02,3,1,ACPL,BWCL,"[""ACPL"", """", ""Attock Cement Pakistan Limited"", """", ""BWCL"", """", ""Bestway Cement Limited^"", """"]"
review_2025_h1,2025-12-02,4,1,BHAT,CLVL,"[""BHAT"", """", ""Bhanero Textile Mills Limited"", """", ""CLVL"", """", ""Cordoba Logistics & Ventures Limited^"", """"]"
review_2025_h1,2025-12-02,5,1,CSAP,CTM,"[""CSAP"", """", ""Crescent Steel & Allied Products Limited"", """", ""CTM"", """", ""Colony Textile Mills Limited^"", """"]"
review_2025_h1,2025-12-02,6,1,DMC,DFSM,"[""DMC"", """", ""D.M. Corporation Limited."", """", ""DFSM"", """", ""Dewan Farooque Spinning Mills Limited^^"", """"]"
review_2025_h1,2025-12-02,7,1,DNCC,DLL,"[""DNCC"", """", ""Dandot Cement Company Limited"", """", ""DLL"", """", ""Dawood Lawrencepur Limited^"", """"]"
review_2025_h1,2025-12-02,8,1,DIIL,INKL,"[""DIIL"", """", ""Diamond Industries Limited"", """", ""INKL"", """", ""International Knitwear Limited^"", """"]"
review_2025_h1,2025-12-02,9,1,ELSM,MIRKS,"[""ELSM"", """", ""Ellcot Spinning Mills Limited"", """", ""MIRKS"", """", ""Mirpurkhas Sugar Mills Limited^"", """"]"
review_2025_h1,2025-12-02,10,1,EPQL,SASML,"[""EPQL"", """", ""Engro Powergen Qadirpur Limited"", """", ""SASML"", """", ""Sindh Abadgars Sugar Mills Limited^"", """"]"
review_2025_h1,2025-12-02,11,1,FFC,SFL,"[""FFC"", """", ""Fauji Fertilizer Company Limited"", """", ""SFL"", """", ""Sapphire Fibres Limited^"", """"]"
review_2025_h1,2025-12-02,12,1,GCWL,UNITY,"[""GCWL"", """", ""Ghani Chemworld Limited"", """", ""UNITY"", """", ""Unity Foods Limited^"", """"]"
review_2025_h1,2025-12-02,13,1,HABSM,,"[""HABSM"", """", ""Habib Sugar Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,14,1,ISIL,,"[""ISIL"", """", ""Ismail Industries Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,15,1,JKSM,,"[""JKSM"", """", ""J.K. Spinning Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,16,1,KOHC,,"[""KOHC"", """", ""Kohat Cement Company Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,17,1,KTML,,"[""KTML"", """", ""Kohinoor Textile Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,18,1,LOADS,,"[""LOADS"", """", ""Loads Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,19,1,MWMP,,"[""MWMP"", """", ""Mandviwala Mauser Plastic Industries"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,20,1,MFL,,"[""MFL"", """", ""Matco Foods Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,21,1,MEHT,,"[""MEHT"", """", ""Mehmood Textile Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,22,1,NATM,,"[""NATM"", """", ""Nadeem Textile Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,23,1,NRL,,"[""NRL"", """", ""National Refinery Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,24,1,GEMNETS,,"[""GEMNETS"", """", ""Nets International Communication Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,25,1,PTL,,"[""PTL"", """", ""Panther Tyres Ltd."", """", """", """", """", """"]"
review_2025_h1,2025-12-02,26,1,REWM,,"[""REWM"", """", ""Reliance Weaving Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,27,1,SAIF,,"[""SAIF"", """", ""Saif Textile Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,28,1,SAPT,,"[""SAPT"", """", ""Sapphire Textile Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,29,1,SIEM,,"[""SIEM"", """", ""Siemens (Pakistan) Engineering"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,30,1,TATM,,"[""TATM"", """", ""Tata Textile Mills Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,31,1,GEMPACRA,,"[""GEMPACRA"", """", ""The Pakistan Credit Rating Agency Ltd"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,32,1,TBL,,"[""TBL"", """", ""Treet Battery Limited."", """", """", """", """", """"]"
review_2025_h1,2025-12-02,33,1,UDLI,,"[""UDLI"", """", ""UDL International Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,34,1,WAVES,,"[""WAVES"", """", ""Waves Corporation Limited"", """", """", """", """", """"]"
review_2025_h1,2025-12-02,35,1,ZAL,,"[""ZAL"", """", ""Zarea Limited"", """", """", """", """", """"]"
