source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2021_h2,2022-07-15,3,2,ALNRS,AGSML,"[""3"", ""ALNRS"", """", ""Al-Noor Sugar Mills Ltd."", """", ""AGSML"", """", ""Abdullah Shah Ghazi Sugar Mills Ltd."", """"]"
review_2021_h2,2022-07-15,4,2,BAFS,ASL,"[""4"", ""BAFS"", """", ""Baba Farid Sugar Mills LTd"", """", ""ASL"", """", ""Aisha Steel Mills Limited."", """"]"
review_2021_h2,2022-07-15,5,2,BCL,ATBA,"[""5"", ""BCL"", """", ""Bolan Castings Ltd"", """", ""ATBA"", """", ""Atlas Battery Ltd."", """"]"
review_2021_h2,2022-07-15,6,2,BECO,AWTX,"[""6"", ""BECO"", """", ""Beco Steel Limited (Ravi Textile)"", """", ""AWTX"", """", ""Allawasaya Tex. & Finishing Mills."", """"]"
review_2021_h2,2022-07-15,7,2,CHAS,FZCM,"[""7"", ""CHAS"", """", ""Chashma Sugar Mills Ltd"", """", ""FZCM"", """", ""Fazal Cloth Mills Ltd."", """"]"
review_2021_h2,2022-07-15,8,2,CLOV,HABSM,"[""8"", ""CLOV"", """", ""Clover Pakistan Ltd"", """", ""HABSM"", """", ""Habib Sugar Mills Ltd."", """"]"
review_2021_h2,2022-07-15,9,2,COLG,IDSM,"[""9"", ""COLG"", """", ""Colgate Palmolive (Pakistan)"", """", ""IDSM"", """", ""Ideal Spinning Mills Ltd."", """"]"
review_2021_h2,2022-07-15,10,2,CSAP,ILP,"[""10"", ""CSAP"", """", ""Crescent Steel & Allied Products"", """", ""ILP"", """", ""Interloop Limited."", """"]"
review_2021_h2,2022-07-15,11,2,CTM,JVDC,"[""11"", ""CTM"", """", ""Colony Textile Mills Ltd"", """", ""JVDC"", """", ""Javedan Corporation Ltd."", """"]"
review_2021_h2,2022-07-15,12,2,DLL,KOHTM,"[""12"", ""DLL"", """", ""Dawood Lawrencepur Limited"", """", ""KOHTM"", """", ""Kohat Textile Mills Ltd."", """"]"
review_2021_h2,2022-07-15,13,2,FFBL,MODAM,"[""13"", ""FFBL"", """", ""Fauji Fertilizer Bin Qasim Ltd"", """", ""MODAM"", """", ""Modarba Al-Mali."", """"]"
review_2021_h2,2022-07-15,14,2,FIBLM,MQTM,"[""14"", ""FIBLM"", """", ""First IBL Modaraba"", """", ""MQTM"", """", ""Maqbool Textile Mills Ltd."", """"]"
review_2021_h2,2022-07-15,15,2,HAEL,NATM,"[""15"", ""HAEL"", """", ""Hala Enterprises Ltd"", """", ""NATM"", """", ""Nadeem Textile Mills Ltd."", """"]"
