source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2024_h2,2025-06-10,1,1,ASL,ACPL,"[""ASL"", """", ""Aisha Steel Mills Limited"", """", ""ACPL"", """", ""Attock Cement Pakistan Limited"", """"]"
review_2024_h2,2025-06-10,2,1,BECO,AIRLINK,"[""BECO"", """", ""Beco Steel Limited"", """", ""AIRLINK"", """", ""Air Link Communication Limited"", """"]"
review_2024_h2,2025-06-10,3,1,DLL,ASTL,"[""DLL"", """", ""Dawood Lawrencepur Limited"", """", ""ASTL"", """", ""Amreli Steels Limited"", """"]"
review_2024_h2,2025-06-10,4,1,ECOP,ASTM,"[""ECOP"", """", ""Ecopack Limited"", """", ""ASTM"", """", ""Asim Textile Mills Limited"", """"]"
review_2024_h2,2025-06-10,5,1,GCIL,ATLH,"[""GCIL"", """", ""Ghani Chemical Industries Limited"", """", ""ATLH"", """", ""Atlas Honda Limited"", """"]"
review_2024_h2,2025-06-10,6,1,GLPL,CSAP,"[""GLPL"", """", ""Gillette Pakistan Limited"", """", ""CSAP"", """", ""Crescent Steel & Allied Products Limited"", """"]"
review_2024_h2,2025-06-10,7,1,ICCI,DIIL,"[""ICCI"", """", ""ICC Industries Limited"", """", ""DIIL"", """", ""Diamond Industries Limited"", """"]"
review_2024_h2,2025-06-10,8,1,IDRT,DNCC,"[""IDRT"", """", ""Idrees Textile Mills Limited"", """", ""DNCC"", """", ""Dandot Cement Company Limited"", """"]"
review_2024_h2,2025-06-10,9,1,LIVEN,GAMON,"[""LIVEN"", """", ""Liven Pharma Limited"", """", ""GAMON"", """", ""Gammon Pakistan Limited"", """"]"
review_2024_h2,2025-06-10,10,1,MIRKS,KOHC,"[""MIRKS"", """", ""Mirpurkhas Sugar Mills Limited"", """", ""KOHC"", """", ""Kohat Cement Company Limited"", """"]"
review_2024_h2,2025-06-10,11,1,SPWL,KTML,"[""SPWL"", """", ""Saif Power Limited"", """", ""KTML"", """", ""Kohinoor Textile Mills Limited"", """"]"
review_2024_h2,2025-06-10,12,1,SGPL,LPL,"[""SGPL"", """", ""S.G. Power Limited"", """", ""LPL"", """", ""Lalpir Power Limited"", """"]"
review_2024_h2,2025-06-10,13,1,SEL,NATM,"[""SEL"", """", ""Sitara Energy Limited"", """", ""NATM"", """", ""Nadeem Textile Mills Limited"", """"]"
review_2024_h2,2025-06-10,14,1,STL,NRL,"[""STL"", """", ""Supernet Technologies Limited"", """", ""NRL"", """", ""National Refinery Limited"", """"]"
review_2024_h2,2025-06-10,15,1,TICL,PABC,"[""TICL"", """", ""The Thal Industries Corporation Limited"", """", ""PABC"", """", ""Pakistan Aluminium Beverage Cans Limited"", """"]"
review_2024_h2,2025-06-10,16,1,,PTL,"["""", """", """", """", ""PTL"", """", ""Panther Tyres Ltd."", """"]"
review_2024_h2,2025-06-10,17,1,,REWM,"["""", """", """", """", ""REWM"", """", ""Reliance Weaving Mills Limited"", """"]"
review_2024_h2,2025-06-10,18,1,,SUTM,"["""", """", """", """", ""SUTM"", """", ""Sunrays Textile Mills Limited"", """"]"
review_2024_h2,2025-06-10,19,1,,THCCL,"["""", """", """", """", ""THCCL"", """", ""Thatta Cement Company Limited"", """"]"
review_2024_h2,2025-06-10,20,1,,WAVES,"["""", """", """", """", ""WAVES"", """", ""Waves Corporation Limited"", """"]"
review_2024_h2,2025-06-10,21,1,,WAVESAPP,"["""", """", """", """", ""WAVESAPP"", """", ""Waves Home Appliances Limited"", """"]"
review_2024_h2,2025-06-10,22,1,,ZAL,"["""", """", """", """", ""ZAL"", """", ""Zarea Limited"", """"]"
