symbol,effective_from,effective_to,instrument_type,classification_source,classification_confidence,classification_rule,observed_sector,pit_eligible_row_count,c5_loss_contribution,extreme_target_count,review_priority,review_reason
P03PIB040825,2022-09-12,2023-04-12,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P03PIB050824,2021-09-24,2021-12-24,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P03PIB200823,2021-04-07,2021-11-10,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P03VRR090128,2025-02-26,2026-06-02,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P03VRR100527,2025-05-30,2025-10-23,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P03VRR180927,2024-09-20,2026-07-10,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P03VRR211027,2024-10-23,2026-06-30,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P03VRR240127,2024-01-31,2026-06-15,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P03VRR280627,2024-08-19,2026-07-06,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR070330,2025-11-27,2026-04-14,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR090130,2025-02-26,2026-07-09,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR100529,2024-07-30,2026-07-10,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR180631,2026-07-03,2026-07-03,sukuk,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:sukuk,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR180929,2024-09-20,2026-06-19,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR211029,2024-10-23,2026-07-07,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR220131,2026-01-26,2026-07-03,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,3,0.0,0,2,classification_rule_conflict|special_security_entered_pit_universe|short_interval_or_maturity_like_ticker
P05FRR240129,2024-07-04,2026-07-07,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR280629,2024-08-19,2026-07-10,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05FRR300530,2025-06-20,2026-07-03,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,2,0.0,0,2,classification_rule_conflict|special_security_entered_pit_universe|short_interval_or_maturity_like_ticker
P05FRR300930,2025-10-20,2026-07-03,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,29,0.0,0,2,classification_rule_conflict|special_security_entered_pit_universe|short_interval_or_maturity_like_ticker
P05PIB131027,2023-01-26,2023-04-12,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05PIB290427,2022-09-12,2022-09-12,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05VRR090130,2025-02-26,2026-04-09,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05VRR100529,2024-06-26,2026-06-29,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05VRR180929,2024-09-20,2026-06-16,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05VRR211029,2024-10-23,2026-06-23,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05VRR240129,2024-03-04,2026-06-30,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05VRR280629,2024-08-19,2026-05-15,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P05VRR300530,2025-11-25,2026-04-07,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10FRR090135,2026-06-22,2026-06-22,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10FRR180934,2024-09-23,2026-06-19,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10FRR211034,2025-08-05,2025-12-22,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10FRZ141135,2026-01-02,2026-01-02,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10FRZ220136,2026-01-26,2026-06-17,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10FRZ240735,2026-06-19,2026-06-19,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10PIB101230,2022-10-05,2022-10-31,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10VRR070335,2025-06-16,2025-06-16,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10VRR090135,2025-08-07,2025-12-22,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10VRR160436,2026-05-07,2026-07-10,sukuk,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:sukuk,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10VRR180934,2024-09-23,2026-06-29,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10VRR211034,2024-10-28,2026-06-30,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10VRR220136,2026-01-26,2026-03-26,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
P10VRR300535,2025-08-25,2026-03-27,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PABC,2021-07-16,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,1177,0.005539366084179169,0,2,classification_rule_conflict
PAEL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0803,1576,0.006792481791935363,0,2,classification_rule_conflict
PAELR3,2022-03-10,2022-04-01,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0803,0,0.0,6,2,classification_rule_conflict|extreme_c4_target
PAKL,2022-10-11,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0816,0,0.0,11,2,classification_rule_conflict|extreme_c4_target
PAKOXY,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0805,841,0.005354014905984116,1,2,classification_rule_conflict|extreme_c4_target
PAKOXYR,2023-11-01,2023-11-23,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0805,0,0.0,0,2,classification_rule_conflict
PAKQATAR,2025-12-31,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,90,0.0,0,2,classification_rule_conflict
PAKRI,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,1140,0.008427329302843314,6,2,classification_rule_conflict|extreme_c4_target
