symbol,effective_from,effective_to,instrument_type,classification_source,classification_confidence,classification_rule,observed_sector,pit_eligible_row_count,c5_loss_contribution,extreme_target_count,review_priority,review_reason
PRWM,2020-01-14,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0831,0,0.0,0,2,classification_rule_conflict
PSEL,2020-01-14,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,55,0.0003297993018020962,5,2,classification_rule_conflict|extreme_c4_target
PSO,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0821,1576,0.00553011425342502,0,2,classification_rule_conflict
PSX,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0813,1433,0.006465888802605209,1,2,classification_rule_conflict|extreme_c4_target
PSYL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0827,1,0.0,6,2,classification_rule_conflict|extreme_c4_target
PTC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,1576,0.013271897696398898,9,2,classification_rule_conflict|extreme_c4_target
PTL,2021-02-22,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0802,1243,0.005219195023313262,0,2,classification_rule_conflict
QTECH,2025-12-30,2026-02-12,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,91,0.0,0,2,classification_rule_conflict|multiple_classification_intervals
QUET,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,0,0.0,47,2,classification_rule_conflict|extreme_c4_target
QUICE,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,856,0.0138764352079272,33,2,classification_rule_conflict|extreme_c4_target
REDCO,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,46,0.0009328457582031522,7,2,classification_rule_conflict|extreme_c4_target
REWM,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,63,0.0,5,2,classification_rule_conflict|extreme_c4_target
RICL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,0,0.0,3,2,classification_rule_conflict|extreme_c4_target
RMPL,2020-01-03,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,315,0.0005009454051523561,0,2,classification_rule_conflict
RPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0822,1299,0.006540868232967128,0,2,classification_rule_conflict
RUBY,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,0,0.0,14,2,classification_rule_conflict|extreme_c4_target
RUPL,2020-01-06,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0827,47,0.00040067627028607253,2,2,classification_rule_conflict|extreme_c4_target
SAIF,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,78,0.00015212078897852967,1,2,classification_rule_conflict|extreme_c4_target
SANE,2024-06-03,2024-10-04,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,0,0.0,64,2,classification_rule_conflict|extreme_c4_target
SANSM,2020-02-11,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,0,0.0,9,2,classification_rule_conflict|extreme_c4_target
SAPT,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,0,0.0,0,2,classification_rule_conflict
SARC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0805,31,0.0002267022483716337,18,2,classification_rule_conflict|extreme_c4_target
SASML,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,0,0.0,36,2,classification_rule_conflict|extreme_c4_target
SAZEW,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0801,1576,0.01250073450060234,3,2,classification_rule_conflict|extreme_c4_target
SAZEWR,2020-03-12,2020-04-03,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0801,0,0.0,0,2,classification_rule_conflict
SBL,2020-01-06,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0807,175,0.0005088362836154071,6,2,classification_rule_conflict|extreme_c4_target
SBLTFC,2021-10-15,2025-12-30,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict
SCBPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0807,761,0.0030146012340753394,0,2,classification_rule_conflict
SEARL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0823,1576,0.00667029115643933,0,2,classification_rule_conflict
SEARLR1,2020-12-01,2020-12-22,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0823,0,0.0,0,2,classification_rule_conflict
SEARLR2,2023-08-31,2023-09-21,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0823,0,0.0,6,2,classification_rule_conflict|extreme_c4_target
SEL,2020-01-07,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0824,67,0.000273567779573672,27,2,classification_rule_conflict|extreme_c4_target
SEPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0822,929,0.002155999740752475,0,2,classification_rule_conflict
SERFR,2021-08-25,2021-09-16,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0831,0,0.0,2,2,classification_rule_conflict|extreme_c4_target
SERT,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,88,0.0007596719845193554,30,2,classification_rule_conflict|extreme_c4_target
SFL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,0,0.0,0,2,classification_rule_conflict
SGF,2021-04-28,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0816,1040,0.004650366552181868,0,2,classification_rule_conflict
SGPL,2021-06-18,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0824,198,0.006613929017367657,46,2,classification_rule_conflict|extreme_c4_target
SHCM,2020-01-15,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,0,0.0,39,2,classification_rule_conflict|extreme_c4_target
SHDT,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,210,0.0008775820868335847,30,2,classification_rule_conflict|extreme_c4_target
SHDTR1,2026-03-12,2026-03-25,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0830,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
SHELR,2021-01-19,2021-02-10,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0821,0,0.0,0,2,classification_rule_conflict
SHEZ,2020-01-06,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,419,0.002506577148295555,0,2,classification_rule_conflict
SHFA,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,1190,0.005386001797487258,0,2,classification_rule_conflict
SHJS,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,0,0.0,0,2,classification_rule_conflict
SHNI,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,73,0.0004357247956040156,9,2,classification_rule_conflict|extreme_c4_target
SHSML,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,170,0.0012881723613730302,0,2,classification_rule_conflict
SIBL,2020-01-10,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0813,0,0.0,31,2,classification_rule_conflict|extreme_c4_target
SIEM,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0803,154,0.011767688600834356,32,2,classification_rule_conflict|extreme_c4_target
SINDM,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0819,39,0.0,11,2,classification_rule_conflict|extreme_c4_target
SITC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0805,696,0.002736153316290344,2,2,classification_rule_conflict|extreme_c4_target
SKRS,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,386,0.0051271216801252305,2,2,classification_rule_conflict|extreme_c4_target
SLGL,2024-04-22,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0833,511,0.0065262489293536185,14,2,classification_rule_conflict|extreme_c4_target
SLL,2020-01-01,2024-10-31,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0815,0,0.0,5,2,classification_rule_conflict|extreme_c4_target
SLM,2026-06-15,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0802,0,0.0,0,2,classification_rule_conflict
SLYT,2020-01-06,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,14,0.0002256127500666764,74,2,classification_rule_conflict|extreme_c4_target
SMCPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0804,306,0.004674954841260675,4,2,classification_rule_conflict|extreme_c4_target
SML,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,50,5.575348194282409e-05,10,2,classification_rule_conflict|extreme_c4_target
SNAI,2020-01-30,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,0,0.0,0,2,classification_rule_conflict
SNAIR,2021-04-06,2021-04-28,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0830,0,0.0,12,2,classification_rule_conflict|extreme_c4_target
SNBL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0807,917,0.003439075482495365,0,2,classification_rule_conflict
SNBLTFC2,2020-01-14,2022-02-17,debt_security,observed_sector_rule,low,sector_exact:36,36,0,0.0,0,2,classification_rule_conflict
SNBLTFC3,2020-04-10,2024-08-21,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict
SNBLTFC4,2023-06-15,2025-05-21,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict
SNGP,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0821,1576,0.003629460040713253,0,2,classification_rule_conflict
SPAC1,2026-05-11,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0813,1,0.0,0,2,classification_rule_conflict
SPEL,2020-01-01,2024-04-19,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,1059,0.00460205868227574,29,2,classification_rule_conflict|extreme_c4_target|multiple_classification_intervals
SPELR,2020-11-05,2020-11-27,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0818,0,0.0,0,2,classification_rule_conflict
SPSL,2026-05-21,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0821,0,0.0,0,2,classification_rule_conflict
SPWL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0824,1409,0.0027012845982653903,0,2,classification_rule_conflict
SRR,2026-01-29,2026-07-10,REIT,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:REIT,0836,22,0.0,0,2,classification_rule_conflict
SRVI,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0816,1429,0.006303874371501285,0,2,classification_rule_conflict
SSGC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0821,1576,0.014594647236230975,24,2,classification_rule_conflict|extreme_c4_target
SSML,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,49,0.0,33,2,classification_rule_conflict|extreme_c4_target
SSOM,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0834,298,0.004753158198761933,60,2,classification_rule_conflict|extreme_c4_target
STCL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0811,1094,0.0026314268100669567,0,2,classification_rule_conflict
STJT,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0831,0,0.0,0,2,classification_rule_conflict
STL,2025-01-16,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,53,2.7346415444804008e-05,10,2,classification_rule_conflict|extreme_c4_target
STML,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,0,0.0,1,2,classification_rule_conflict|extreme_c4_target
STPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,1378,0.003074150271698043,0,2,classification_rule_conflict
STYLERS,2024-01-22,2026-05-08,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,0,0.0,0,2,classification_rule_conflict|multiple_classification_intervals
STYLERSR,2024-07-11,2024-08-02,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0829,0,0.0,5,2,classification_rule_conflict|extreme_c4_target
SUHJ,2021-08-16,2022-12-12,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0814,0,0.0,11,2,classification_rule_conflict|extreme_c4_target
SURC,2020-01-07,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,124,0.00020035240336737064,0,2,classification_rule_conflict
SUTM,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,46,0.00023012444739500628,26,2,classification_rule_conflict|extreme_c4_target
SYM,2023-09-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,668,0.012378776360903114,23,2,classification_rule_conflict|extreme_c4_target
SYS,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,1574,0.002514021682751563,0,2,classification_rule_conflict
SZTM,2020-06-03,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,0,0.0,1,2,classification_rule_conflict|extreme_c4_target
TATM,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,259,0.004094688393401193,44,2,classification_rule_conflict|extreme_c4_target
TBL,2023-12-15,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0802,595,0.003192270383494638,24,2,classification_rule_conflict|extreme_c4_target
TCORP,2022-08-05,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,126,0.00029036273774871114,0,2,classification_rule_conflict
TCORPCPS,2022-08-31,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,0,0.0,2,2,classification_rule_conflict|extreme_c4_target
TCORPR1,2024-02-23,2024-03-15,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0826,0,0.0,1,2,classification_rule_conflict|extreme_c4_target
TCORPR2,2026-07-03,2026-07-10,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0826,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
TELE,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,1359,0.00648482449520275,55,2,classification_rule_conflict|extreme_c4_target
TELETFC,2020-10-23,2020-10-28,debt_security,observed_sector_rule,low,sector_exact:36,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
TGL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0811,1576,0.004583949538037616,0,2,classification_rule_conflict
THALL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0802,1347,0.003302150878375702,0,2,classification_rule_conflict
THCCL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0804,1218,0.01369802350408695,13,2,classification_rule_conflict|extreme_c4_target
TICL,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,0,0.0,2,2,classification_rule_conflict|extreme_c4_target
TOMCL,2020-08-03,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,1431,0.006671058888832599,0,2,classification_rule_conflict
TOMCLR,2025-02-12,2025-03-06,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0810,0,0.0,0,2,classification_rule_conflict
TOWL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,615,0.004943633283110437,2,2,classification_rule_conflict|extreme_c4_target
TPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,1467,0.011721457624360856,22,2,classification_rule_conflict|extreme_c4_target
TPLI,2020-01-06,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,162,0.0010805249876034183,24,2,classification_rule_conflict|extreme_c4_target
TPLL,2024-12-30,2025-04-30,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,0,0.0,0,2,classification_rule_conflict|multiple_classification_intervals
TPLP,2020-01-01,2022-08-02,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,1321,0.005847942271826133,22,2,classification_rule_conflict|extreme_c4_target|multiple_classification_intervals
TPLPTFC2,2024-06-03,2024-06-03,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
TPLRF1,2024-05-20,2026-07-10,REIT,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:REIT,0836,142,6.414857614460596e-05,0,2,classification_rule_conflict
TPLSC,2022-12-14,2025-09-09,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict
TPLT,2020-08-10,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,419,0.0026358955665138325,2,2,classification_rule_conflict|extreme_c4_target
TPLTFC3,2022-12-14,2024-10-15,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict
TREET,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,1576,0.005172315977582735,0,2,classification_rule_conflict
TREETR2,2023-11-24,2023-12-15,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0810,0,0.0,0,2,classification_rule_conflict
TRG,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,1576,0.00474898347534286,0,2,classification_rule_conflict
TRIPF,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,754,0.0005436623914460603,0,2,classification_rule_conflict
TSBL,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0813,130,0.0002254743526686832,45,2,classification_rule_conflict|extreme_c4_target
TSBLR1,2026-02-19,2026-03-05,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0813,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
TSMF,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0806,21,0.0,16,2,classification_rule_conflict|extreme_c4_target
TSML,2020-01-20,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,0,0.0,13,2,classification_rule_conflict|extreme_c4_target
TSPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0824,253,0.003544698323243725,8,2,classification_rule_conflict|extreme_c4_target
UBDL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,4,0.0,8,2,classification_rule_conflict|extreme_c4_target
UBL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0807,1576,0.004194357785911313,0,2,classification_rule_conflict
UBLPETF,2021-07-28,2026-07-10,ETF,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ETF,0837,201,0.0001204905206570268,0,2,classification_rule_conflict
UBLTFC5,2020-01-10,2026-05-06,debt_security,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:debt_security,36,0,0.0,0,2,classification_rule_conflict
UCAPM,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0819,82,0.00030626614849413775,33,2,classification_rule_conflict|extreme_c4_target
UDLI,2024-07-10,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,143,0.0005106720296784458,0,2,classification_rule_conflict
UDPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,171,0.0012030461529111537,8,2,classification_rule_conflict|extreme_c4_target
UNIC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,55,5.839856313024629e-05,0,2,classification_rule_conflict
UNITY,2020-01-01,2021-02-12,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0834,1576,0.005885926053900259,0,2,classification_rule_conflict|multiple_classification_intervals
UNITYR2,2020-08-10,2020-09-01,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0834,0,0.0,0,2,classification_rule_conflict
UNITYR3,2021-12-23,2022-01-14,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0810,0,0.0,9,2,classification_rule_conflict|extreme_c4_target
UPFL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,387,0.0024550392519456766,0,2,classification_rule_conflict
UVIC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,45,0.0006889896158855847,36,2,classification_rule_conflict|extreme_c4_target
WAFI,2025-03-03,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0821,297,0.0006182445944130469,0,2,classification_rule_conflict
WAHDAT,2026-05-08,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,2,0.0,0,2,classification_rule_conflict
WAHN,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0805,140,0.0007412427234755445,0,2,classification_rule_conflict
WASL,2025-07-28,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0819,200,0.0014380100582366425,1,2,classification_rule_conflict|extreme_c4_target
WASLR,2026-03-05,2026-03-19,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0819,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
WAVES,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0803,1576,0.00454567945269859,0,2,classification_rule_conflict
WAVESAPP,2023-12-28,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0803,587,0.009648247370574124,7,2,classification_rule_conflict|extreme_c4_target
WAVESR1,2021-05-06,2021-05-28,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0803,0,0.0,0,2,classification_rule_conflict
WTL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,1426,0.004354615243515011,32,2,classification_rule_conflict|extreme_c4_target
